id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;B;B_error;B_quality;B_uncertainty_flag;B-V;B-V_error;B-V_quality;B-V_uncertainty_flag;b-y;b-y_error;b-y_quality;b-y_uncertainty_flag;B1;B1_error;B1_quality;B1_uncertainty_flag;B1-B2;B1-B2_error;B1-B2_quality;B1-B2_uncertainty_flag;B2;B2_error;B2_quality;B2_uncertainty_flag;B2-G;B2-G_error;B2-G_quality;B2-G_uncertainty_flag;BP;BP_error;BP_quality;BP_uncertainty_flag;c1;c1_error;c1_quality;c1_uncertainty_flag;D;D_error;D_quality;D_uncertainty_flag;D(V1-G);D(V1-G)_error;D(V1-G)_quality;D(V1-G)_uncertainty_flag;Delta;Delta_error;Delta_quality;Delta_uncertainty_flag;Delta a;Delta a_error;Delta a_quality;Delta a_uncertainty_flag;g';g'_error;g'_quality;g'_uncertainty_flag;G;G_error;G_quality;G_uncertainty_flag;H;H_error;H_quality;H_uncertainty_flag;Hp;Hp_error;Hp_quality;Hp_uncertainty_flag;Hβ;Hβ_error;Hβ_quality;Hβ_uncertainty_flag;i';i'_error;i'_quality;i'_uncertainty_flag;J;J_error;J_quality;J_uncertainty_flag;K;K_error;K_quality;K_uncertainty_flag;m1;m1_error;m1_quality;m1_uncertainty_flag;r';r'_error;r'_quality;r'_uncertainty_flag;RP;RP_error;RP_quality;RP_uncertainty_flag;U;U_error;U_quality;U_uncertainty_flag;U-B;U-B_error;U-B_quality;U-B_uncertainty_flag;U-B1;U-B1_error;U-B1_quality;U-B1_uncertainty_flag;U-B2;U-B2_error;U-B2_quality;U-B2_uncertainty_flag;V;V_error;V_quality;V_uncertainty_flag;V-I;V-I_error;V-I_quality;V-I_uncertainty_flag;V1;V1_error;V1_quality;V1_uncertainty_flag;V1-G;V1-G_error;V1-G_quality;V1-G_uncertainty_flag;VM;VM_error;VM_quality;VM_uncertainty_flag;X;X_error;X_quality;X_uncertainty_flag;Y;Y_error;Y_quality;Y_uncertainty_flag;Z;Z_error;Z_quality;Z_uncertainty_flag
6938;;51890;;298.1342977;0.016;14.9458444;0.014;53.2765887;-6.2538475;19 52 32.233;+14 56 45.10;;;;;0.048;0.026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6939;;52050;;298.1646093;0.031;51.0310276;0.036;84.6161951;11.9337059;19 52 39.510;+51 01 51.55;8.964;0.0;;;0.429;0.015;;;1.015;;;;-0.328;;;;1.343;;;;-0.167;;;;8.851;0.121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6940;;51760;;298.1764081;0.014;-34.683592;0.011;5.7435234;-26.9232902;19 52 42.328;-34 41 01.02;10.054;0.12;;;0.42;;;;;;;;;;;;;;;;;;;;9.6908;0.063;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6941;;51940;;298.2374783;0.022;17.8150061;0.022;55.8131908;-4.8869231;19 52 57.000;+17 48 54.30;;;;;0.004;0.015;;;0.869;;;;-0.631;;;;1.5;;;;-0.649;;;;8.0096;0.182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6942;;51960;;298.2500327;0.012;18.3369309;0.014;56.2702486;-4.6318063;19 52 59.990;+18 20 12.93;9.385;0.0;;;0.23;;;;;;;;;;;;;;;;;;;;9.3244;0.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6943;;51990;;298.2848303;0.011;26.1940436;0.015;63.0452152;-0.6379526;19 53 08.362;+26 11 38.58;;;;;-0.033;0.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6944;;51820;;298.3152324;0.016;-39.4097875;0.014;0.6119653;-28.2120171;19 53 15.647;-39 24 34.93;9.855;0.0;;;;;;;0.978;;;;-0.423;;;;1.401;;;;-0.365;;;;9.7057;0.245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6945;*;51900;;298.3281616;0.051;-3.1143996;0.037;37.2747814;-15.1764826;19 53 18.737;-03 06 52.15;6.303;0.048;;;0.231;0.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6946;?;52040;;298.3429312;0.01;38.1275427;0.012;73.3347097;5.430164;19 53 22.300;+38 07 39.17;11.006;0.1;;;;;;;;;;;;;;;;;;;;;;;10.9217;0.052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6947;;51980;;298.3513767;0.249;20.327527;0.26;58.0359081;-3.6987568;19 53 24.291;+20 19 38.84;;;;;0.31;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6948;;51857;;298.3809697;0.016;-23.3921047;0.011;17.6665884;-23.5545105;19 53 31.430;-23 23 31.53;;;;;;;;;;;;;;;;;;;;;;;;;9.4006;0.177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6949;;52070;A;298.4658044;0.02;39.1071446;0.023;74.2318072;5.8446782;19 53 51.783;+39 06 25.76;7.888;0.0;;;-0.09;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6950;;52035;;298.4695895;0.014;26.59336;0.019;63.4728113;-0.5745046;19 53 52.688;+26 35 36.29;;;;;0.095;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6951;;52010;;298.5122352;0.014;13.271535;0.013;52.0056587;-7.4137244;19 54 02.939;+13 16 17.72;;;;;;;;;;;;;;;;;;;;;;;;;9.103;0.108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6952;?;52100;;298.5583241;0.028;38.1704921;0.032;73.4583783;5.3061626;19 54 14.004;+38 10 13.93;11.75;0.075;;;0.2;;;;;;;;;;;;;;;;;;;;11.6354;0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6953;;52030;;298.601853;0.019;11.5843639;0.016;50.5767459;-8.3361069;19 54 24.445;+11 35 03.96;9.28;0.007;;;;;;;;;;;;;;;;;;;;;;;9.3211;0.163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6954;;51880;;298.6144771;0.022;-36.5757263;0.018;3.7916926;-27.7606111;19 54 27.473;-36 34 32.21;8.923;0.0;;;;;;;0.946;;;;-0.487;;;;1.433;;;;-0.524;;;;8.9087;0.351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6955;;52110;;298.6490951;0.014;33.5718509;0.015;69.5361288;2.8875426;19 54 35.775;+33 34 18.95;;;;;0.28;;;;1.029;;;;-0.32;;;;1.349;;;;-0.353;;;;8.604;0.299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6956;;52080;;298.6637224;0.013;20.7619882;0.014;58.5599633;-3.7273631;19 54 39.293;+20 45 43.25;10.159;0.071;;;0.13;;;;;;;;;;;;;;;;;;;;10.15;0.104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6957;;51840;;298.6936888;0.012;-57.429187;0.01;340.1031942;-30.9974018;19 54 46.461;-57 25 45.20;;;;;;;;;;;;;;;;;;;;;;;;;9.4963;0.158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6958;?;52130;;298.7177191;0.053;33.3633761;0.063;69.3866975;2.7311369;19 54 52.218;+33 21 48.14;;;;;;;;;0.961;;;;-0.479;;;;1.44;;;;-0.404;;;;9.0728;0.369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6959;;52150;;298.7450926;0.012;37.7007867;0.012;73.1284024;4.9396849;19 54 58.827;+37 42 02.76;10.129;0.035;;;;;;;;;;;;;;;;;;;;;;;10.0466;0.168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6960;;51850;;298.7607736;0.014;-56.8549802;0.015;340.7743788;-31.004955;19 55 02.578;-56 51 18.07;8.927;0.0;;;;;;;;;;;;;;;;;;;;;;;8.7479;0.202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6961;?;52180;;298.7658578;0.011;37.6439963;0.012;73.0878751;4.8965004;19 55 03.798;+37 38 38.14;10.547;0.09;;;;;;;;;;;;;;;;;;;;;;;10.5181;0.228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6962;;51870;;298.7722933;0.016;-49.8859559;0.015;348.8498263;-30.3937245;19 55 05.355;-49 53 09.28;9.798;0.058;;;;;;;1.004;;;;-0.37;;;;1.374;;;;-0.204;;;;9.5336;0.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6963;?;52140;;298.7748224;0.01;34.0824221;0.013;70.0282725;3.0608583;19 55 05.952;+34 04 56.81;;;;;;;;;0.96;;;;-0.463;;;;1.423;;;;-0.461;;;;9.1263;0.088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6964;;52220;;298.8002209;0.016;46.6653742;0.019;80.9483778;9.4346256;19 55 12.046;+46 39 55.95;;;;;0.367;0.01;;;0.986;;;;-0.401;;;;1.387;;;;-0.274;;;;7.7339;0.657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6965;?;52190;A;298.8215619;0.011;37.3587568;0.012;72.8647638;4.7124213;19 55 17.176;+37 21 31.50;10.746;0.124;;;;;;;;;;;;;;;;;;;;;;;10.6353;0.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6966;;52210;;298.8692593;0.01;38.2687262;0.012;73.6684821;5.1463265;19 55 28.620;+38 16 07.24;9.792;0.0;;;;;;;;;;;;;;;;;;;;;;;9.6936;0.127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6967;;52260;;298.9076299;0.075;44.2425528;0.08;78.8639888;8.156797;19 55 37.829;+44 14 32.93;10.123;0.068;;;;;;;0.959;;;;-0.459;;;;1.418;;;;-0.374;;;;9.7487;0.256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6968;?;52240;;298.9185336;0.036;37.5648121;0.04;73.0818664;4.7520542;19 55 40.442;+37 33 53.36;10.701;0.113;;;;;;;;;;;;;;;;;;;;;;;10.6544;0.031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6969;;52160;;298.9325604;0.064;22.8767414;0.084;60.5044664;-2.8522089;19 55 43.801;+22 52 36.43;;;;;;;;;;;;;;;;;;;;;;;;;9.7551;0.161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6970;;52020;;298.9357366;0.017;-29.209321;0.014;11.8038993;-25.9530814;19 55 44.578;-29 12 33.17;;;;;;;;;;;;;;;;;;;;;;;;;8.8676;0.266;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6971;?;52250;;298.9695867;0.048;38.2649085;0.056;73.7057243;5.076732;19 55 52.709;+38 15 53.79;12.625;0.053;;;;;;;;;;;;;;;;;;;;;;;12.4656;0.165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6972;;52300;A;298.9768652;0.024;49.195389;0.025;83.2395748;10.5853664;19 55 54.448;+49 11 43.66;8.005;0.072;;;-0.08;0.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6973;;52093;;298.9946701;0.015;-11.2875536;0.01;29.8978542;-19.3779981;19 55 58.712;-11 17 15.08;10.154;0.016;;;;;;;;;;;;;;;;;;;;;;;9.9944;0.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6974;;52200;;299.0135329;0.006;25.9101866;0.009;63.1399609;-1.3451877;19 56 03.247;+25 54 36.71;12.011;0.003;;;1.05;;;;;;;;;;;;;;;;;;;;11.0043;0.058;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6975;?;52280;;299.0436284;0.012;38.3829304;0.015;73.8373463;5.0874508;19 56 10.482;+38 22 58.66;11.176;0.063;;;;;;;;;;;;;;;;;;;;;;;11.0406;0.136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6976;?;52290;;299.0585974;0.01;36.7431754;0.011;72.4326527;4.2337308;19 56 14.058;+36 44 35.47;;;;;;;;;;;;;;;;;;;;;;;;;11.2211;0.091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6977;;52170;;299.0595314;0.055;11.4237475;0.043;50.6635414;-8.804689;19 56 14.255;+11 25 25.45;;;;;0.014;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6978;;52097;;299.1670853;0.02;-23.0663712;0.016;18.2784638;-24.1154876;19 56 40.095;-23 03 58.33;;;;;0.33;0.014;;;;;;;;;;;;;;;;;;;7.6753;0.669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6979;;52120;;299.1764699;0.017;-22.0051981;0.013;19.3667786;-23.7458575;19 56 42.340;-22 00 18.53;10.729;0.043;;;;;;;1.048;;;;-0.279;;;;1.327;;;;-0.083;;;;10.428;0.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6980;;52134;;299.2018339;0.028;-16.6153588;0.019;24.7907911;-21.7373089;19 56 48.450;-16 36 55.11;8.376;0.0;;;0.063;0.017;;;;;;;;;;;;;;;;;;;8.3401;0.124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6981;;52370;A;299.2090161;0.023;44.2711325;0.024;78.9989729;7.9848957;19 56 50.141;+44 16 16.00;;;;;-0.042;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6982;;52310;;299.2223882;0.015;35.5370944;0.016;71.4660631;3.4974633;19 56 53.344;+35 32 12.78;;;;;0.326;0.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6983;?;52060;;299.2313502;0.018;-39.5866341;0.016;0.5959449;-28.9405795;19 56 55.519;-39 35 11.89;9.552;0.0;;;;;;;;;;;;;;;;;;;;;;;9.4191;0.051;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6984;?;52302;;299.2758289;0.01;28.7650897;0.013;65.7003993;-0.060603;19 57 06.203;+28 45 54.58;10.946;0.002;;;;;;;;;;;;;;;;;;;;;;;10.7877;0.215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6985;?;51967;;299.2764841;0.063;-58.9014175;0.073;338.3963266;-31.3570764;19 57 06.333;-58 54 04.63;;;;;0.014;0.003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6986;;52380;;299.2912832;0.016;40.3806616;0.018;75.658449;5.9487741;19 57 09.917;+40 22 50.53;;;;;;;;;;;;;;;;;;;;;;;;;9.279;0.179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6987;?;52090;A;299.303348;0.013;-40.577657;0.01;359.5017883;-29.206438;19 57 12.842;-40 34 39.36;10.782;0.0;;;;;;;;;;;;;;;;;;;;;;;9.997;0.116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6988;?;52400;;299.3078214;0.051;40.3678265;0.055;75.6538765;5.931373;19 57 13.879;+40 22 04.13;;;;;-0.09;0.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6989;;52390;;299.3310552;0.011;37.5141401;0.013;73.2073309;4.4455852;19 57 19.450;+37 30 50.88;10.289;0.184;;;;;;;;;;;;;;;;;;;;;;;10.2158;0.055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6990;;52360;;299.3718921;0.012;30.9061181;0.016;67.5713432;0.9838291;19 57 29.258;+30 54 22.04;;;;;;;;;;;;;;;;;;;;;;;;;9.5102;0.048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6991;?;52340;;299.3812019;0.009;27.9938471;0.013;65.0904536;-0.5416317;19 57 31.491;+27 59 38.01;10.113;0.203;;;;;;;;;;;;;;;;;;;;;;;9.8707;0.192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6992;;52230;;299.4032117;0.018;-12.0332697;0.012;29.3579501;-20.0546535;19 57 36.772;-12 01 59.69;10.105;0.017;;;;;;;0.905;;;;-0.555;;;;1.46;;;;-0.484;;;;10.0552;0.119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6993;?;52470;;299.5374779;0.022;39.2073456;0.026;74.7458726;5.1822888;19 58 08.993;+39 12 26.44;10.748;0.077;;;;;;;;;;;;;;;;;;;;;;;10.5233;0.016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6994;;52460;;299.6091085;0.021;34.5130454;0.024;70.754713;2.6947024;19 58 26.201;+34 30 47.05;;;;;-0.07;;;;0.831;;;;-0.726;;;;1.557;;;;-0.709;;;;8.3436;0.027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6995;?;52420;A;299.6477153;0.011;22.03603;0.013;60.1275646;-3.8532281;19 58 35.454;+22 02 09.79;9.901;0.0;;;;;;;;;;;;;;;;;;;;;;;9.7277;0.106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6996;;51930;;299.6729029;0.015;-69.1644009;0.027;326.3834041;-31.1801693;19 58 41.293;-69 09 50.35;;;;;0.224;0.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
