id;category_affiliation_probability_flag;id_2009_A_and_A_498_961_R;binary_system_component;icrs_ra;icrs_ra_error;icrs_dec;icrs_dec_error;gal_longitude;gal_latitude;alpha;delta;HDE_id;Gaia DR2_id;TYC_id;Hipparcos_id;Gaia DR3_id
65;?;308;;4.8817192;0.033;43.891007;0.023;116.8739467;-18.6050652;00 19 31.624;+43 53 27.70;385320280838777472;385320280840534400;-99.99;-99.99;2794-1297-1
66;;340;;5.0824431;0.021;-24.7030797;0.019;50.3229444;-82.5983696;00 20 19.828;-24 42 10.86;2335874146397592448;2335874146397592448;1619;-99.99;6413-782-1
67;;330;;5.1150749;0.02;22.4797741;0.018;113.6008056;-39.8300482;00 20 27.605;+22 28 47.23;2800376646166396928;2800376646166396928;1607;-99.99;1185-1386-1
68;?;355;;5.2073587;0.017;-0.8711322;0.012;106.0361345;-62.7344947;00 20 49.768;-00 52 15.96;2542118853908942208;2542118853908942208;1651;1663;4665-980-1
69;;350;;5.2550475;0.19;62.7706493;0.157;119.4605625;0.1040956;00 21 01.213;+62 46 14.44;430614112599738112;430614112599738112;-99.99;-99.99;4019-2973-1
70;;360;;5.2882989;0.02;35.8787378;0.015;116.0753375;-26.5894893;00 21 09.225;+35 52 43.71;2876317298661468672;2876317298661468672;1677;1688;2273-238-1
71;;370;;5.4106802;0.018;36.2530271;0.013;116.2391323;-26.2312185;00 21 38.501;+36 15 10.84;378375898539426560;378375898539426560;1714;1722;2273-670-1
72;;402;;5.4513564;0.018;0.9170969;0.013;107.4792361;-61.0624815;00 21 48.314;+00 55 01.89;2546915439025852288;2546915439025852288;1758;-99.99;3-65-1
73;;390;;5.4913567;0.087;42.5094756;0.051;117.1567978;-20.0315451;00 21 57.936;+42 30 34.17;385100309793749760;385100309793749760;-99.99;-99.99;2791-225-1
74;;400;A;5.5006512;0.016;27.1860703;0.013;114.9144544;-35.22702;00 22 00.080;+27 11 09.68;2856593434448392064;2856593434448392064;1756;1740;1733-31-1
75;;380;;5.5354384;0.015;66.4608054;0.016;120.0072831;3.7555564;00 22 08.410;+66 27 38.93;528234974018528896;528234974018528896;1732;1748;4027-607-1
76;;410;;5.708241;0.022;29.4542382;0.016;115.5052455;-33.0046774;00 22 49.869;+29 27 15.36;2857501394830370944;2857501394830370944;1826;1799;1737-852-1
77;;430;;5.7547517;0.017;-60.2840438;0.017;309.3080562;-56.4910019;00 23 01.104;-60 17 02.51;4905374924351309440;4905374924351771520;1913;1817;8841-286-1
78;*;420;;5.8026627;0.033;-31.035757;0.035;358.8935846;-82.7018989;00 23 12.617;-31 02 08.83;2316976663956746624;2316976663956746624;1909;1830;6990-1102-1
79;;440;;6.0139042;0.016;31.1884734;0.01;116.0768611;-31.3185411;00 24 03.320;+31 11 18.59;2862252040976413568;2862252040976413568;1968;1903;2261-1229-1
80;;470;;6.0779208;0.026;-28.9806229;0.026;14.1569951;-83.736352;00 24 18.670;-28 58 50.32;2321769160264123008;2321769160264123008;2026;1928;6420-121-1
81;;460;;6.165361;0.104;31.3729963;0.071;116.2535796;-31.1512947;00 24 39.681;+31 22 22.89;2862259565759107200;2862259565759107200;2019;1952;2261-204-1
82;;450;;6.2670426;0.041;76.4807908;0.044;121.3490293;13.6901515;00 25 04.067;+76 28 50.84;539989509231402496;539989509231402496;-99.99;-99.99;4492-1761-1
83;?;490;;6.2768743;0.062;53.0467627;0.073;118.923816;-9.6199538;00 25 06.402;+53 02 48.36;419090268665059712;419090268665059712;2054;1982;3653-1364-1
